session_id,condition,smoke_metric,value,units,n_trials,n_units,n_timepoints,computed_from_slice,interpretation_allowed
230629,RRXR,unit_count,354,units,2,354,6000,false,false
230629,RRXR,timepoint_count,6000,timepoints,2,354,6000,false,false
230629,RXRR,finite_fraction,1.000000,ratio,8,354,6000,true,false
230629,RXRR,nonnegative_fraction,1.000000,ratio,8,354,6000,true,false
230629,RXRR,total_nonzero_bins_preview,465,bins,8,354,6000,true,false
230629,RXRR,mean_rate_preview_if_units_known,1.937500,Hz,8,354,6000,true,false
230629,RXRR,trial_count,8,trials,8,354,6000,false,false
230629,RXRR,unit_count,354,units,8,354,6000,false,false
230629,RXRR,timepoint_count,6000,timepoints,8,354,6000,false,false
230629,AAAB,finite_fraction,1.000000,ratio,48,110,6000,true,false
230629,AAAB,nonnegative_fraction,1.000000,ratio,48,110,6000,true,false
230629,AAAB,total_nonzero_bins_preview,2669,bins,48,110,6000,true,false
230629,AAAB,mean_rate_preview_if_units_known,4.448333,Hz,48,110,6000,true,false
230629,AAAB,trial_count,48,trials,48,110,6000,false,false
230629,AAAB,unit_count,110,units,48,110,6000,false,false
230629,AAAB,timepoint_count,6000,timepoints,48,110,6000,false,false
230629,AAAX,finite_fraction,1.000000,ratio,1,110,6000,true,false
230629,AAAX,nonnegative_fraction,1.000000,ratio,1,110,6000,true,false
230629,AAAX,total_nonzero_bins_preview,105,bins,1,110,6000,true,false
230629,AAAX,mean_rate_preview_if_units_known,3.500000,Hz,1,110,6000,true,false
230629,AAAX,trial_count,1,trials,1,110,6000,false,false
230629,AAAX,unit_count,110,units,1,110,6000,false,false
230629,AAAX,timepoint_count,6000,timepoints,1,110,6000,false,false
230629,AAXB,finite_fraction,1.000000,ratio,5,110,6000,true,false
230629,AAXB,nonnegative_fraction,1.000000,ratio,5,110,6000,true,false
230629,AAXB,total_nonzero_bins_preview,623,bins,5,110,6000,true,false
230629,AAXB,mean_rate_preview_if_units_known,4.153333,Hz,5,110,6000,true,false
230629,AAXB,trial_count,5,trials,5,110,6000,false,false
230629,AAXB,unit_count,110,units,5,110,6000,false,false
230629,AAXB,timepoint_count,6000,timepoints,5,110,6000,false,false
230629,AXAB,finite_fraction,1.000000,ratio,6,110,6000,true,false
230629,AXAB,nonnegative_fraction,1.000000,ratio,6,110,6000,true,false
230629,AXAB,total_nonzero_bins_preview,740,bins,6,110,6000,true,false
230629,AXAB,mean_rate_preview_if_units_known,4.111111,Hz,6,110,6000,true,false
